timestamp,traffic_density,weather,avg_speed,is_rush_hour,is_weekend,accident_flag,weekday,month,hour_of_day,day_of_year,Congestion_Level
2019-01-01 00:00:00,0.7,Sunny,28.1,0,0,0,Tuesday,January,0,1,0
2019-01-01 00:15:00,0.5,Sunny,44.6,0,0,1,Tuesday,January,0,1,1
2019-01-01 00:30:00,0.59,Sunny,34.7,0,0,1,Tuesday,January,0,1,1
2019-01-01 00:45:00,0.88,Sunny,21.8,0,0,1,Tuesday,January,0,1,2
2019-01-01 01:00:00,1.0,Sunny,11.4,0,0,1,Tuesday,January,1,1,2
2019-01-01 01:15:00,0.88,Sunny,24.5,0,0,1,Tuesday,January,1,1,2
2019-01-01 01:30:00,0.91,Sunny,15.4,0,0,1,Tuesday,January,1,1,2
2019-01-01 01:45:00,0.52,Sunny,45.9,0,0,1,Tuesday,January,1,1,1
2019-01-01 02:00:00,0.25,Foggy,52.2,0,0,1,Tuesday,January,2,1,1
2019-01-01 02:15:00,0.46,Sunny,44.7,0,0,1,Tuesday,January,2,1,1
2019-01-01 02:30:00,0.73,Sunny,28.0,0,0,0,Tuesday,January,2,1,0
2019-01-01 02:45:00,0.88,Sunny,24.4,0,0,0,Tuesday,January,2,1,0
2019-01-01 03:00:00,1.0,Foggy,10.9,0,0,0,Tuesday,January,3,1,1
2019-01-01 03:15:00,1.0,Sunny,12.7,0,0,1,Tuesday,January,3,1,2
2019-01-01 03:30:00,1.0,Rainy,15.4,0,0,1,Tuesday,January,3,1,2
2019-01-01 03:45:00,0.2,Sunny,60.0,0,0,1,Tuesday,January,3,1,0
2019-01-01 04:00:00,0.79,Rainy,29.7,0,0,1,Tuesday,January,4,1,1
2019-01-01 04:15:00,1.0,Rainy,10.7,0,0,1,Tuesday,January,4,1,2
2019-01-01 04:30:00,1.0,Sunny,16.2,0,0,1,Tuesday,January,4,1,2
2019-01-01 04:45:00,0.67,Sunny,31.4,0,0,1,Tuesday,January,4,1,1
2019-01-01 05:00:00,1.0,Rainy,14.7,0,0,1,Tuesday,January,5,1,2
2019-01-01 05:15:00,0.78,Sunny,27.7,0,0,1,Tuesday,January,5,1,2
2019-01-01 05:30:00,0.8,Rainy,21.3,0,0,0,Tuesday,January,5,1,0
2019-01-01 05:45:00,1.0,Sunny,15.1,0,0,1,Tuesday,January,5,1,2
2019-01-01 06:00:00,1.0,Foggy,17.6,0,0,1,Tuesday,January,6,1,2
2019-01-01 06:15:00,0.87,Sunny,18.8,0,0,1,Tuesday,January,6,1,2
2019-01-01 06:30:00,0.52,Foggy,45.1,0,0,1,Tuesday,January,6,1,1
2019-01-01 06:45:00,1.0,Rainy,15.4,0,0,1,Tuesday,January,6,1,2
2019-01-01 07:00:00,0.33,Rainy,48.0,0,0,1,Tuesday,January,7,1,1
2019-01-01 07:15:00,0.97,Sunny,20.3,0,0,1,Tuesday,January,7,1,2
2019-01-01 07:30:00,0.67,Sunny,30.4,0,0,1,Tuesday,January,7,1,1
2019-01-01 07:45:00,0.87,Sunny,20.4,0,0,1,Tuesday,January,7,1,2
2019-01-01 08:00:00,1.0,Sunny,9.6,1,0,0,Tuesday,January,8,1,1
2019-01-01 08:15:00,0.93,Sunny,5.0,1,0,0,Tuesday,January,8,1,1
2019-01-01 08:30:00,0.93,Sunny,12.9,1,0,0,Tuesday,January,8,1,1
2019-01-01 08:45:00,1.0,Sunny,5.0,1,0,0,Tuesday,January,8,1,1
2019-01-01 09:00:00,0.97,Sunny,5.3,1,0,0,Tuesday,January,9,1,1
2019-01-01 09:15:00,0.91,Sunny,13.3,1,0,0,Tuesday,January,9,1,1
2019-01-01 09:30:00,0.96,Sunny,9.0,1,0,0,Tuesday,January,9,1,1
2019-01-01 09:45:00,0.96,Sunny,5.0,1,0,0,Tuesday,January,9,1,1
2019-01-01 10:00:00,0.73,Sunny,18.3,1,0,0,Tuesday,January,10,1,0
2019-01-01 10:15:00,0.93,Sunny,10.4,1,0,0,Tuesday,January,10,1,1
2019-01-01 10:30:00,1.0,Rainy,5.0,1,0,0,Tuesday,January,10,1,1
2019-01-01 10:45:00,1.0,Rainy,5.0,1,0,0,Tuesday,January,10,1,1
2019-01-01 11:00:00,1.0,Rainy,6.4,1,0,0,Tuesday,January,11,1,1
2019-01-01 11:15:00,0.96,Sunny,5.0,1,0,0,Tuesday,January,11,1,1
2019-01-01 11:30:00,0.92,Sunny,9.9,1,0,0,Tuesday,January,11,1,1
2019-01-01 11:45:00,0.97,Sunny,5.0,1,0,0,Tuesday,January,11,1,1
2019-01-01 12:00:00,0.82,Sunny,26.5,0,0,0,Tuesday,January,12,1,0
2019-01-01 12:15:00,0.96,Sunny,14.6,0,0,1,Tuesday,January,12,1,2
2019-01-01 12:30:00,1.0,Foggy,16.3,0,0,1,Tuesday,January,12,1,2
2019-01-01 12:45:00,1.0,Rainy,14.9,0,0,1,Tuesday,January,12,1,2
2019-01-01 13:00:00,0.81,Sunny,20.7,0,0,1,Tuesday,January,13,1,2
2019-01-01 13:15:00,1.0,Sunny,19.5,0,0,1,Tuesday,January,13,1,2
2019-01-01 13:30:00,0.64,Foggy,39.1,0,0,1,Tuesday,January,13,1,1
2019-01-01 13:45:00,0.47,Sunny,47.7,0,0,1,Tuesday,January,13,1,1
2019-01-01 14:00:00,0.91,Sunny,18.1,0,0,1,Tuesday,January,14,1,2
2019-01-01 14:15:00,0.87,Sunny,24.1,0,0,1,Tuesday,January,14,1,2
2019-01-01 14:30:00,1.0,Sunny,11.4,0,0,1,Tuesday,January,14,1,2
2019-01-01 14:45:00,0.55,Sunny,41.7,0,0,1,Tuesday,January,14,1,1
2019-01-01 15:00:00,1.0,Rainy,18.1,0,0,1,Tuesday,January,15,1,2
2019-01-01 15:15:00,0.73,Rainy,30.0,0,0,1,Tuesday,January,15,1,1
2019-01-01 15:30:00,1.0,Sunny,17.0,0,0,1,Tuesday,January,15,1,2
2019-01-01 15:45:00,0.34,Rainy,50.1,0,0,1,Tuesday,January,15,1,1
2019-01-01 16:00:00,0.5,Sunny,42.2,0,0,1,Tuesday,January,16,1,1
2019-01-01 16:15:00,0.76,Sunny,23.5,0,0,1,Tuesday,January,16,1,2
2019-01-01 16:30:00,0.21,Sunny,54.7,0,0,1,Tuesday,January,16,1,0
2019-01-01 16:45:00,0.71,Sunny,26.8,0,0,0,Tuesday,January,16,1,0
2019-01-01 17:00:00,0.96,Sunny,9.5,1,0,0,Tuesday,January,17,1,1
2019-01-01 17:15:00,1.0,Foggy,5.0,1,0,0,Tuesday,January,17,1,1
2019-01-01 17:30:00,1.0,Sunny,8.4,1,0,1,Tuesday,January,17,1,2
2019-01-01 17:45:00,1.0,Sunny,5.0,1,0,1,Tuesday,January,17,1,2
2019-01-01 18:00:00,1.0,Sunny,6.6,1,0,1,Tuesday,January,18,1,2
2019-01-01 18:15:00,1.0,Sunny,5.5,1,0,1,Tuesday,January,18,1,2
2019-01-01 18:30:00,1.0,Sunny,5.0,1,0,1,Tuesday,January,18,1,2
2019-01-01 18:45:00,1.0,Rainy,5.0,1,0,1,Tuesday,January,18,1,2
2019-01-01 19:00:00,1.0,Sunny,5.0,1,0,1,Tuesday,January,19,1,2
2019-01-01 19:15:00,1.0,Sunny,5.0,1,0,1,Tuesday,January,19,1,2
2019-01-01 19:30:00,0.96,Sunny,8.6,1,0,1,Tuesday,January,19,1,2
2019-01-01 19:45:00,0.95,Sunny,11.3,1,0,0,Tuesday,January,19,1,1
2019-01-01 20:00:00,0.96,Sunny,5.0,1,0,0,Tuesday,January,20,1,1
2019-01-01 20:15:00,0.94,Sunny,9.7,1,0,0,Tuesday,January,20,1,1
2019-01-01 20:30:00,0.78,Sunny,21.7,1,0,0,Tuesday,January,20,1,0
2019-01-01 20:45:00,1.0,Foggy,5.0,1,0,0,Tuesday,January,20,1,1
2019-01-01 21:00:00,0.56,Sunny,42.6,0,0,0,Tuesday,January,21,1,0
2019-01-01 21:15:00,0.46,Sunny,46.7,0,0,0,Tuesday,January,21,1,0
2019-01-01 21:30:00,0.8,Sunny,23.8,0,0,0,Tuesday,January,21,1,0
2019-01-01 21:45:00,0.4,Sunny,47.1,0,0,0,Tuesday,January,21,1,0
2019-01-01 22:00:00,0.87,Sunny,25.7,0,0,0,Tuesday,January,22,1,0
2019-01-01 22:15:00,0.45,Sunny,49.3,0,0,0,Tuesday,January,22,1,0
2019-01-01 22:30:00,0.85,Sunny,22.1,0,0,0,Tuesday,January,22,1,0
2019-01-01 22:45:00,0.56,Sunny,43.7,0,0,0,Tuesday,January,22,1,0
2019-01-01 23:00:00,0.75,Foggy,26.7,0,0,0,Tuesday,January,23,1,0
2019-01-01 23:15:00,0.8,Sunny,28.9,0,0,0,Tuesday,January,23,1,0
2019-01-01 23:30:00,0.67,Sunny,32.6,0,0,0,Tuesday,January,23,1,0
2019-01-01 23:45:00,0.61,Rainy,39.1,0,0,0,Tuesday,January,23,1,0
2019-01-02 00:00:00,0.75,Sunny,24.5,0,0,0,Wednesday,January,0,2,0
2019-01-02 00:15:00,0.58,Rainy,43.0,0,0,0,Wednesday,January,0,2,0
2019-01-02 00:30:00,0.38,Sunny,54.0,0,0,0,Wednesday,January,0,2,0
2019-01-02 00:45:00,1.0,Rainy,15.6,0,0,0,Wednesday,January,0,2,1
2019-01-02 01:00:00,0.65,Sunny,29.4,0,0,0,Wednesday,January,1,2,0
2019-01-02 01:15:00,0.83,Sunny,25.8,0,0,1,Wednesday,January,1,2,2
2019-01-02 01:30:00,1.0,Rainy,13.7,0,0,1,Wednesday,January,1,2,2
2019-01-02 01:45:00,0.27,Sunny,59.8,0,0,1,Wednesday,January,1,2,0
2019-01-02 02:00:00,0.17,Sunny,60.0,0,0,1,Wednesday,January,2,2,0
2019-01-02 02:15:00,0.17,Sunny,60.0,0,0,1,Wednesday,January,2,2,0
